Date,Price,Open,High,Low,Vol.,Change %
5-Mar-15,"18,751.84",18658.16,"18,767.50","18,655.36",121.94K,0.26%
4-Mar-15,"18,703.60",18716.78,"18,732.66","18,586.84",143.31K,-0.59%
3-Mar-15,"18,815.16",18910.52,"18,910.52","18,730.57",154.82K,-0.06%
2-Mar-15,"18,826.88",18869.4,"18,939.17","18,775.23",134.85K,0.15%
27-Feb-15,"18,797.94",18844.28,"18,865.39","18,714.64",174.69K,0.06%
26-Feb-15,"18,785.79",18587.87,"18,790.83","18,587.13",155.54K,1.08%
25-Feb-15,"18,585.20",18636.34,"18,648.77","18,552.81",139.11K,-0.10%
24-Feb-15,"18,603.48",18468.39,"18,603.48","18,427.98",145.16K,0.74%
23-Feb-15,"18,466.92",18499.58,"18,509.08","18,402.02",157.50K,0.73%
20-Feb-15,"18,332.30",18336.5,"18,360.92","18,297.67",146.33K,0.37%
19-Feb-15,"18,264.79",18237.35,"18,322.50","18,237.35",174.12K,0.36%
18-Feb-15,"18,199.17",18103.98,"18,202.61","18,092.32",171.56K,1.18%
17-Feb-15,"17,987.09",17949.7,"18,009.45","17,901.26",142.05K,-0.10%
16-Feb-15,"18,004.77",18024.01,"18,074.26","17,978.90",152.59K,0.51%
13-Feb-15,"17,913.36",17892.1,"17,962.11","17,864.55",161.99K,-0.37%
12-Feb-15,"17,979.72",17899.4,"18,005.45","17,884.34",181.17K,1.85%
10-Feb-15,"17,652.68",17662.67,"17,673.27","17,550.03",123.93K,-0.33%
9-Feb-15,"17,711.93",17790.31,"17,799.49","17,653.61",129.47K,0.36%
6-Feb-15,"17,648.50",17696.18,"17,700.67","17,603.07",142.52K,0.82%
5-Feb-15,"17,504.62",17589.21,"17,619.34","17,484.67",184.99K,-0.98%
4-Feb-15,"17,678.74",17549.3,"17,743.11","17,535.04",187.05K,1.98%
3-Feb-15,"17,335.85",17654.6,"17,654.60","17,271.87",169.62K,-1.27%
2-Feb-15,"17,558.04",17536.61,"17,628.40","17,459.45",136.04K,-0.66%
30-Jan-15,"17,674.39",17788.74,"17,808.47","17,661.10",173.48K,0.39%
29-Jan-15,"17,606.22",17666.91,"17,778.83","17,575.10",140.04K,-1.06%
28-Jan-15,"17,795.73",17615.93,"17,850.59","17,615.93",141.95K,0.15%
27-Jan-15,"17,768.30",17649.4,"17,768.41","17,633.47",139.69K,1.72%
26-Jan-15,"17,468.52",17285.71,"17,471.94","17,285.71",111.60K,-0.25%
23-Jan-15,"17,511.75",17520.63,"17,532.06","17,460.76",132.53K,1.05%
22-Jan-15,"17,329.02",17306.64,"17,355.74","17,229.21",121.91K,0.28%
21-Jan-15,"17,280.48",17308.72,"17,329.03","17,181.55",135.98K,-0.49%
20-Jan-15,"17,366.30",17071.65,"17,366.30","17,066.77",133.03K,2.07%
19-Jan-15,"17,014.29",17000.78,"17,039.80","16,911.58",127.98K,0.89%
16-Jan-15,"16,864.16",16812.96,"16,864.34","16,592.57",171.10K,-1.43%
15-Jan-15,"17,108.70",16872.95,"17,141.98","16,856.22",147.71K,1.86%
14-Jan-15,"16,795.96",16961.82,"17,036.72","16,770.56",148.51K,-1.71%
13-Jan-15,"17,087.71",16970.88,"17,087.71","16,828.27",149.18K,-0.64%
9-Jan-15,"17,197.73",17318.74,"17,342.65","17,129.53",155.22K,0.18%
8-Jan-15,"17,167.10",17067.4,"17,243.71","17,016.09",140.61K,1.67%
7-Jan-15,"16,885.33",16808.26,"16,974.61","16,808.26",138.57K,0.01%
6-Jan-15,"16,883.19",17101.58,"17,111.36","16,881.73",166.02K,-3.02%
5-Jan-15,"17,408.71",17325.68,"17,540.92","17,219.22",116.46K,-0.24%
30-Dec-14,"17,450.77",17702.12,"17,713.76","17,450.77",98.28K,-1.57%
29-Dec-14,"17,729.84",17914.55,"17,914.55","17,525.66",115.19K,-0.50%
26-Dec-14,"17,818.96",17778.91,"17,843.73","17,769.01",86.46K,0.06%
25-Dec-14,"17,808.75",17804.84,"17,832.47","17,773.59",86.42K,-0.25%
