Date,Open,High,Low,Close,
7/23/2021,32257,32879,32038,32477,
7/22/2021,31864,32597,31716,32257,
7/21/2021,29864,32800,29513,31864,
7/20/2021,30793,31004,29336,29864,
7/19/2021,31663,31920,30568,30793,
7/18/2021,31755,32404,31159,31663,
7/17/2021,31850,31932,31224,31755,
7/16/2021,31748,32233,31085,31850,
7/15/2021,32811,33162,31174,31748,
7/14/2021,32519,33066,31628,32811,
7/13/2021,32833,33315,32239,32519,
7/12/2021,33859,34611,32660,32833,
7/11/2021,33329,34077,33279,33859,
7/10/2021,33508,34229,33098,33329,
7/9/2021,32788,33667,32302,33508,
7/8/2021,34550,34550,32142,32788,
7/7/2021,33941,35040,33724,34550,
7/6/2021,33847,35058,33601,33941,
7/5/2021,35542,35945,33171,33847,
7/4/2021,34715,35679,34297,35542,
7/3/2021,33124,34926,33106,34715,
7/2/2021,33411,33955,32747,33124,
7/1/2021,34585,35203,32819,33411,
6/30/2021,36156,36301,34075,34585,
6/29/2021,34682,36548,34142,36156,
6/28/2021,32648,35224,32493,34721,
6/27/2021,31315,33555,30968,32648,
6/26/2021,32212,32638,30190,31329,
6/25/2021,34858,35496,31508,32212,
6/24/2021,33066,35228,32364,34857,
6/23/2021,32895,34789,31772,33066,
6/22/2021,32622,33240,29002,32895,
6/21/2021,35853,35905,31822,32622,
6/20/2021,36193,36193,33400,35853,
6/19/2021,35493,36396,34888,36193,
6/18/2021,37752,38186,35204,35493,
6/17/2021,38550,39510,37448,37752,
6/16/2021,39943,40473,38364,38550,
6/15/2021,39836,41289,39612,39949,
6/14/2021,40926,40926,39382,39809,
6/13/2021,36041,38830,34982,38830,
6/12/2021,37331,37342,35509,36041,
6/11/2021,36410,37537,36217,37331,
6/10/2021,36387,38389,35850,36410,
6/9/2021,33625,36825,32466,36406,
6/8/2021,34454,34630,31101,33638,
6/7/2021,35938,36767,34155,34471,
6/6/2021,35857,36454,34874,35897,
6/5/2021,37071,37942,35396,35826,
6/4/2021,38691,39277,35626,37071,
6/3/2021,37739,39469,37249,38693,
6/2/2021,36313,38213,35976,37739,
6/1/2021,36677,37852,35792,36330,
5/31/2021,36080,37465,34230,36677,
5/30/2021,34266,36354,33554,36115,
5/29/2021,35260,37236,33687,34266,
5/28/2021,38476,39189,35201,35245,
5/27/2021,38756,40401,37266,38476,
